time,total_energy
1.119999999999993712e+01,-1.437421852978165361e+03
1.123999999999993626e+01,-1.440668080726944027e+03
1.127999999999993541e+01,-1.443927597099669356e+03
1.131999999999993456e+01,-1.447201209796604644e+03
1.135999999999993371e+01,-1.450488289546996839e+03
1.139999999999993285e+01,-1.453786824534167181e+03
1.143999999999993200e+01,-1.457093619258395847e+03
1.147999999999993115e+01,-1.460404620215491832e+03
1.151999999999993030e+01,-1.463715335396745104e+03
1.155999999999992944e+01,-1.467021302488083847e+03
1.159999999999992859e+01,-1.470318554047889165e+03
1.163999999999992774e+01,-1.473604028222586066e+03
1.167999999999992689e+01,-1.476875880698564970e+03
1.171999999999992603e+01,-1.480133666206575981e+03
1.175999999999992518e+01,-1.483378373667760115e+03
1.179999999999992433e+01,-1.486612315404530364e+03
1.183999999999992347e+01,-1.489838885536008092e+03
1.187999999999992262e+01,-1.493062214341881599e+03
1.191999999999992177e+01,-1.496286753504209400e+03
1.195999999999992092e+01,-1.499516831866871144e+03
1.199999999999992006e+01,-1.502756223098008604e+03
1.203999999999991921e+01,-1.506007765703113364e+03
1.207999999999991836e+01,-1.509273072202699723e+03
1.211999999999991751e+01,-1.512552357675948770e+03
1.215999999999991665e+01,-1.515844407984519876e+03
1.219999999999991580e+01,-1.519146694926127338e+03
1.223999999999991495e+01,-1.522455630162639864e+03
1.227999999999991410e+01,-1.525766933730895516e+03
1.231999999999991324e+01,-1.529076078655860783e+03
1.235999999999991239e+01,-1.532378763157200865e+03
1.239999999999991154e+01,-1.535671358128236534e+03
1.243999999999991068e+01,-1.538951280773047074e+03
1.247999999999990983e+01,-1.542217254901021988e+03
1.251999999999990898e+01,-1.545469432564453427e+03
1.255999999999990813e+01,-1.548709367973774079e+03
1.259999999999990727e+01,-1.551939850453564532e+03
1.263999999999990642e+01,-1.555164616721225457e+03
1.267999999999990557e+01,-1.558387972970665260e+03
1.271999999999990472e+01,-1.561614363922755729e+03
1.275999999999990386e+01,-1.564847929461606554e+03
1.279999999999990301e+01,-1.568092090102714337e+03
1.283999999999990216e+01,-1.571349200515866869e+03
1.287999999999990131e+01,-1.574620305503842928e+03
1.291999999999990045e+01,-1.577905024892778101e+03
1.295999999999989960e+01,-1.581201582545222891e+03
1.299999999999989875e+01,-1.584506980538726111e+03
1.303999999999989790e+01,-1.587817303667521401e+03
1.307999999999989704e+01,-1.591128123848142195e+03
1.311999999999989619e+01,-1.594434961248567333e+03
1.315999999999989534e+01,-1.597733751365066837e+03
1.319999999999989448e+01,-1.601021266364889698e+03
1.323999999999989363e+01,-1.604295445012620576e+03
1.327999999999989278e+01,-1.607555597239033659e+03
1.331999999999989193e+01,-1.610802464710578079e+03
1.335999999999989107e+01,-1.614038135047653668e+03
