t,Energy,DissipationProxy,DeltaIntU,HalfDeltaIntPhi,misfit
27.679999999999588,15123.496609460437,-78.20045013504786,549.1447172329827,549.1447172319167,1.0659277904778719e-09
27.719999999999587,15122.700366999317,-78.26655458317265,550.108117855023,550.1081178539571,1.0659277904778719e-09
27.759999999999586,15121.90395476473,-78.33274890019707,551.0718025288188,551.0718025276474,1.1714291758835316e-09
27.799999999999585,15121.10737459402,-78.39903414786897,552.035769841681,552.0357698405605,1.1204974725842476e-09
27.839999999999584,15120.31062829257,-78.46541102764796,553.0000182500735,553.0000182490876,9.858922567218542e-10
27.879999999999583,15119.513717628379,-78.53187987980337,553.9645460836546,553.964546082494,1.1605152394622564e-09
27.919999999999582,15118.71664432914,-78.59844068350547,554.9293515469544,554.9293515456811,1.2732925824820995e-09
27.95999999999958,15117.919410075674,-78.66509305790781,555.8944327250356,555.8944327236641,1.3715180102735758e-09
27.99999999999958,15117.122016502679,-78.7318362642112,556.8597875861451,556.8597875852283,9.167706593871117e-10
28.03999999999958,15116.32446519272,-78.79866920869958,557.8254139885685,557.8254139873607,1.2078089639544487e-09
28.07999999999958,15115.526757672413,-78.8655904467367,558.7913096819939,558.7913096806842,1.3096723705530167e-09
28.119999999999578,15114.728895409524,-78.9325981877178,559.7574723148282,559.7574723137186,1.1095835361629725e-09
28.159999999999577,15113.930879811816,-78.99969030093794,560.723899439563,560.7238994383697,1.1932570487260818e-09
28.199999999999577,15113.132712221235,-79.0668643223795,561.6905885169435,561.6905885157539,1.1896190699189901e-09
28.239999999999576,15112.334393913927,-79.13411746238336,562.6575369229067,562.6575369215861,1.3205863069742918e-09
28.279999999999575,15111.535926096618,-79.20144661418757,563.624741953623,563.6247419526189,1.0040821507573128e-09
28.319999999999574,15110.737309903283,-79.26884836329593,564.5922008330381,564.5922008317975,1.2405507732182741e-09
28.359999999999573,15109.938546396434,-79.33631899765854,565.5599107175512,565.5599107163434,1.2078089639544487e-09
28.399999999999572,15109.139636561204,-79.40385451862733,566.5278687037026,566.5278687026002,1.102307578548789e-09
28.43999999999957,15108.340581307095,-79.47145065265798,567.4960718345465,567.4960718333787,1.1677911970764399e-09
28.47999999999957,15107.541381465298,-79.5391028637116,568.4645171066259,568.4645171053926,1.2332748156040907e-09
28.51999999999957,15106.74203778648,-79.60680636633676,569.4332014760475,569.4332014748907,1.1568772606551647e-09
